# faroe saithe catch data                            year = 1961:2015 ,, ages = 3:14+
# faroe saithe survey data var W  stratified         year = 1994:2015 ,, ages = 3:10
# faroe saithe survey data summar stratified         year = 1996:2015 ,, ages = 3:10
# number of years and ages in catch data	c@a 
55 12
# number of years and ages in survey 1 data	u@a
22 8
# number of years and ages in survey 2 data	u@a
20 8
#  ------------------ catch-at-age ,, c@a --------------------------------------
#  3     4     5     6     7    8    9    10  11  12  13  14+
1.615 1.723 2.493 2.824 3.524 5.197 6.279 6.454  7.070  7.773  8.763 10.830
1.293 1.924 2.623 3.621 4.128 4.754 5.952 7.073  8.352  9.032  9.984 11.082
1.162 1.790 3.074 3.291 4.579 4.648 5.116 6.314  7.069  7.069  7.808  9.714
1.223 1.641 2.660 3.790 4.239 5.597 5.350 5.912  6.837  6.727  6.948  9.258
1.493 2.324 3.068 3.746 4.913 4.368 5.276 5.832  6.053  6.706  7.686  8.516
1.220 1.880 2.620 3.400 4.180 4.950 5.690 6.380  7.020  7.260  8.150  9.618
1.230 2.120 3.320 4.280 5.160 6.420 6.870 7.090  7.930  8.070  8.590 10.142
1.310 2.130 3.000 3.810 4.750 5.250 5.950 6.430  7.000  7.470  8.140  9.430
1.337 1.851 2.951 3.577 4.927 6.243 7.232 7.239  8.346  8.345  8.956 10.227
1.208 2.029 2.965 4.143 4.724 5.901 6.811 7.051  7.248  8.292  9.478 10.509
1.431 1.953 2.470 3.850 5.177 6.347 7.825 6.746  8.636  8.467  8.556 10.802
1.401 2.032 2.965 3.596 5.336 7.202 6.966 9.862 10.670 10.460 10.202 13.055
1.718 1.986 2.618 3.277 4.186 5.589 6.050 6.150  9.536  9.823  7.303 12.773
1.609 1.835 2.395 3.182 4.067 5.149 5.501 6.626  6.343 10.245  8.491 10.482
1.500 1.975 1.978 2.937 3.798 4.419 5.115 6.712  9.040  9.364  9.142 10.216
1.309 1.735 1.907 2.373 3.810 4.667 5.509 5.972  6.939  8.543  9.514 10.484
1.223 1.633 1.830 2.052 2.866 4.474 5.424 6.469  6.343  8.418  7.383  8.640
1.240 1.568 1.864 2.211 2.648 3.380 4.816 5.516  6.407  7.395  8.079  8.674
1.264 1.602 2.069 2.554 3.057 4.078 5.012 6.768  7.754  8.303  7.786  9.301
1.408 1.860 2.323 3.131 3.730 4.394 5.209 6.540  8.403  7.275  9.414  9.640
1.503 1.951 2.267 2.936 4.214 4.971 5.657 5.950  6.891  8.752  9.752  7.989
1.456 2.177 2.420 2.895 3.651 5.064 5.440 6.167  7.080  7.736  7.295  7.104
1.432 1.875 2.496 3.229 3.744 4.964 6.375 6.745  7.466  7.284  8.470 10.125
1.476 1.783 2.032 2.778 3.598 4.766 5.982 7.658  7.882  8.539  9.488 10.413
1.388 1.711 1.954 2.405 3.300 4.220 4.999 6.391  6.665  8.214  8.485  8.845
1.374 1.712 1.905 2.396 2.845 4.124 5.256 5.526  6.956  8.030  8.349  8.907
1.477 1.606 2.077 2.360 2.977 3.480 4.851 5.268  6.523  4.727  8.807  8.972
1.330 1.590 1.785 2.586 3.059 3.871 4.374 5.565  6.703  5.776  7.745  7.773
1.142 1.460 1.652 1.969 3.130 3.589 4.513 5.138  6.422  8.026  4.759 11.357
1.123 1.304 1.614 1.977 2.532 3.970 4.834 5.499  6.099  6.987  5.961  0.000
1.143 1.333 1.450 1.789 2.560 3.159 4.154 5.167  6.015  6.186  7.056  9.391
1.148 1.325 1.516 1.672 2.087 2.975 3.790 6.087  6.134  6.651  7.424  0.000
1.126 1.218 1.462 1.790 2.035 2.436 3.861 4.222  5.149  6.437  6.905  5.365
1.058 1.391 1.413 1.824 2.361 2.682 3.278 4.104  4.998  6.331  7.844  7.971
1.146 1.312 1.672 1.816 2.395 2.902 3.100 3.728  4.769  6.072  6.451  0.000
0.938 1.485 1.893 2.411 2.601 3.147 3.634 4.024  5.014  5.828  6.308  9.011
1.429 1.706 2.166 2.551 3.172 3.411 3.972 4.352  5.083  4.941  5.305  0.000
1.111 1.693 2.253 2.918 3.609 4.204 4.531 5.087  5.416  6.087  6.763  7.916
1.029 1.334 1.626 2.709 3.785 4.448 4.799 5.207  5.562  6.018  7.143  6.247
1.208 1.466 1.778 2.069 3.553 4.292 5.191 5.742  5.919  6.417  7.941  7.138
1.369 1.724 2.163 2.868 3.325 5.903 5.899 6.877  6.784  7.467  7.121 11.310
0.932 1.555 2.091 3.170 4.208 5.032 6.715 7.858  7.428  7.565  7.629  9.367
# ------------------------    maturity-at-age ,, mat@a    -------------------------------------------------
#   3      4       5       6       7       8       9      10      11      12     13      14+
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
